ProblemNo,Connection,Cost
0,19269 : 27 -> 28,1
1,19269 : 7 -> 22 ; 14266 : 19 -> 20 ; 24 ; 23010 : 19 -> 23 ; ,21
2,23010 : 64 -> 68 ; ,4
3,14313 : 11 -> 27 ; 14266 : 19 -> 20 ; 19269 : 23 -> 24 ; 14204 : 1 -> 16 ; 23010 : 38 -> 56 ; ,50
4,23010 : 42 -> 49 ; ,7
5,23010 : 59 -> 71 ; ,12
6,19269 : 21 -> 22 ; 14266 : 19 -> 20 ; 24 ; 14204 : 1 -> 12 ; ,13
7,14307 : 1 -> 7 ; 14203 : 7 -> 15 ; 54253 : 17 -> 18 ; 40 ; 15043 : 2 -> 5 ; ,28
8,19269 : 1 -> 22 ; 14266 : 19 -> 20 ; 24 ; 14307 : 30 -> 32 ; 23010 : 17 -> 18,26
9,14307 : 9 -> 10 ; 14204 : 9 -> 16 ; 23010 : 38 -> 65 ; ,35
10,12894 : 12 -> 13 ; 12993 : 24 -> 25 ; 22832 : 15 -> 16 ; 12262 : 2 -> 3 ; 12285 : 3 -> 4 ; 12630 : 3 -> 5 ; 11046 : 37 -> 38 ; 11024 : 1 -> 2,9
11,58840 : 27 -> 28 ; 14009 : 1 -> 5 ; 11045 : 20 -> 21 ; 12642 : 6 -> 7 ; 02512 : 22 -> 24 ; 12218 : 8 -> 9 ; 12223 : 4 -> 5 ; 22635 : 10 -> 11 ; 16348 : 1 -> 2 ; 16629 : 53 -> 54,14
12,57229 : 8 -> 9 ; 17255 : 8 -> 9 ; 12775 : 7 -> 8 ; 02509 : 4 -> 5 ; 12246 : 4 -> 6 ; 12041 : 1 -> 2 ; 22213 : 4 -> 5 ; 13185 : 12 -> 13 ; 11123 : 1 -> 2 ; 13021 : 25 -> 26,11
13,14008 : 18 -> 19 ; 12332 : 15 -> 16 ; 11038 : 4 -> 5 ; 11034 : 16 -> 17 ; 11054 : 9 -> 10 ; 12142 : 7 -> 8 ; 19050 : 9 -> 10 ; 12656 : 31 -> 32 ; 59075 : 13 -> 15 ; ,10
14,14705 : 18 -> 19 ; 19108 : 17 -> 18 ; 16533 : 4 -> 5 ; 12297 : 1 -> 2 ; 22696 : 4 -> 5 ; 17032 : 11 -> 12 ; 57130 : 33 -> 34,7
15,22202 : 2 -> 3 ; 22213 : 3 -> 4 ; 12041 : 2 -> 5 ; 12525 : 7 -> 8 ; 02509 : 15 -> 16 ; 12436 : 18 -> 19 ; 22412 : 14 -> 15 ; 15618 : 7 -> 8,10
16,18006 : 35 -> 36 ; 12101 : 13 -> 14 ; 12819 : 9 -> 10 ; 12259 : 3 -> 4 ; 12236 : 2 -> 3 ; 14007 : 29 -> 30 ; 54076 : 14 -> 16 ; ,8
17,59812 : 37 -> 38 ; 19020 : 38 -> 39 ; 22982 : 27 -> 28 ; 12247 : 5 -> 6 ; 12485 : 14 -> 15 ; 22806 : 1 -> 2 ; 02111 : 12 -> 13 ; 12558 : 3 -> 4 ; 15203 : 19 -> 20,9
18,16031 : 44 -> 45 ; 12214 : 7 -> 8 ; 12293 : 4 -> 5 ; 12390 : 12 -> 13 ; 12250 : 6 -> 7 ; 13301 : 1 -> 3 ; ,7
